MARUTI SUZUKI,,,,,,,,,,,,,,,,,,,
,2,Renault India,Triber,Authentic / Evolution / Techno / Emotion,Zanskar Blue,Shadow Grey,Moonlight Silver,Amber Terracotta,Stealth Black,Ice Cool White,Amber Terracotta with Black roof,Shadow Grey with Mystery Black roof,Ice Cool White with Black roof,,,,,,
,3,Renault India,Kiger,Standard trims,Ice Cool White,Moonlight Silver,Oasis Yellow,Caspian Blue,Shadow Grey,Shadow Grey with Mystery Black roof,Ice Cool White with Black roof,Radiant Red with Mystery Black roof,,,,,,,
,4,Renault India,Duster,RXE / RXS / etc,Mountain Jade Green,Stealth Black,Sunset Red,River Blue,Pearl White,Moonlight Silver,Mountain Jade Green with Stealth Black Roof,River Blue with Stealth Black Roof,Sunset Red with Stealth Black Roof,Pearl White with Stealth Black Roof,,,,,
,5,Renault India,Lodgy,Standard trims,Royal Orchid,Pearl White,Moonlight Silver,Slate Grey,Fiery Red,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NISSAN,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Nissan Motor India / Renault-Nissan JV,Magnite,"VISIA, ACENTA, N-CONNECTA, TEKNA, KURO Edition",Storm White,Blade Silver,Sunrise Cooper Orange,Flare Garnet Red,Onyx Black,Pearl White,Sunrise Cooper Orange with Onyx black roof,Pearl White with Onyx black roof,Flare Garnet Red with Onyx black roof,Blade Silver with Onyx black roof,Metallic Grey,,,,
,2,Nissan Motor India / JV,X-Trail,Standard Trim,Pearl White,Diamond Black,Champagne silver,,,,,,,,,,,,
,3,Nissan Motor India,Kicks,"XL, XV, etc",Fire Red/Onyx Black,Fire Red,Bronze Grey/Amber Orange,Deep Blue Pearl,Pearl White/Onyx Black,Blade Silver,Night Shade,Pearl White,Bronze Grey,,,,,,
,4,Nissan Motor India,Terrano,Standard trims,Sandstone Brown,Bronze Grey,Blade Silver,Sapphire Black,Pearl White,Fire Red,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
